NOMOR,NAMA ITEM
JLP05-18D00023,['CLASSMILD 16 BTG']
JLP05-18D00046,['ANIMAL CHOCOLATE CANDY']
JLP05-18D00071,['ADES 600ML']
JLP05-18D00097,['ANIMAL CHOCOLATE CANDY']
JLP05-18D00120,['ADES 600ML']
JLP05-18D00132,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00153,['ADES 600ML']
JLP05-18D00166,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00189,"['ABC KOPI SUSU SCT 31 GR', 'AIR MINUM ADES 1,5 L']"
JLP05-18D00192,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00203,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D00218,['CLASSMILD 16 BTG']
JLP05-18D00245,['CORNETTO CLASICO BLACK & WHITE']
JLP05-18D00250,['CORNETTO CLASICO BLACK & WHITE']
JLP05-18D00254,['ADES 600ML']
JLP05-18D00256,['ADEM SARI CHING KU KLG 320 ML8992772585026']
JLP05-18D00331,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D00358,['ADES 600ML']
JLP05-18D00363,['ADES 600ML']
JLP05-18D00364,['ADES 600ML']
JLP05-18D00387,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D00392,['76 FILTER GOLD ISI 12']
JLP05-18D00393,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D00394,['ADES 600ML']
JLP05-18D00411,['76 FILTER GOLD ISI 12']
JLP05-18D00421,['ADES 600ML']
JLP05-18D00428,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00440,['76 FILTER GOLD ISI 12']
JLP05-18D00450,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00457,['ADES 600ML']
JLP05-18D00458,['ADES 600ML']
JLP05-18D00482,['ADES 600ML']
JLP05-18D00492,['BISKUAT CKT 71.5 GR']
JLP05-18D00505,['BISKUAT CKT 71.5 GR']
JLP05-18D00524,['CLASSMILD 16 BTG']
JLP05-18D00529,['ADES 600ML']
JLP05-18D00542,['CLASSMILD 16 BTG']
JLP05-18D00544,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00610,['76 FILTER GOLD ISI 12']
JLP05-18D00636,['ADES 600ML']
JLP05-18D00637,['ADES 600ML']
JLP05-18D00645,['ADES 600ML']
JLP05-18D00654,['CLASSMILD 16 BTG']
JLP05-18D00673,['ADES 600ML']
JLP05-18D00677,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D00683,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00693,"['ADEM SARI CHING KU KLG 320 ML8992772585026', 'ADES 600ML']"
JLP05-18D00700,['ADES 600ML']
JLP05-18D00702,['CLASSMILD 16 BTG']
JLP05-18D00715,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00733,['CLASSMILD 16 BTG']
JLP05-18D00749,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D00759,['ADES 600ML']
JLP05-18D00774,"['AIR MINUM ADES 1,5 L']"
JLP05-18D00779,['APACHE BLACK GOLD 12 BATANG']
JLP05-18D00783,['ADES 600ML']
JLP05-18D00794,['ADES 600ML']
JLP05-18D00800,['76 FILTER GOLD ISI 12']
JLP05-18D00829,['ADES 600ML']
JLP05-18D00850,['CLASSMILD 16 BTG']
JLP05-18D00852,['ADES 600ML']
JLP05-18D00886,['CLASSMILD 16 BTG']
JLP05-18D00905,['ADES 600ML']
JLP05-18D00921,['CLASSMILD 16 BTG']
JLP05-18D00943,['ADES 600ML']
JLP05-18D00970,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D00994,['ADEM SARI CHING KU KLG 320 ML8992772585026']
JLP05-18D00998,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01007,['ADES 600ML']
JLP05-18D01013,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01018,['ADES 600ML']
JLP05-18D01031,['ANIMAL CHOCOLATE CANDY']
JLP05-18D01044,['ADES 600ML']
JLP05-18D01061,['CLASSMILD 16 BTG']
JLP05-18D01062,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01078,['CLASSMILD 16 BTG']
JLP05-18D01085,['ADES 600ML']
JLP05-18D01101,['ADES 600ML']
JLP05-18D01113,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01127,['ADES 600ML']
JLP05-18D01132,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D01140,['CLASSMILD 16 BTG']
JLP05-18D01142,['ADES 600ML']
JLP05-18D01147,['ADES 600ML']
JLP05-18D01148,['ADES 600ML']
JLP05-18D01151,['ADES 600ML']
JLP05-18D01159,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D01169,"['ADES 600ML', 'ABC KOPI SUSU SCT 31 GR']"
JLP05-18D01170,['ADES 600ML']
JLP05-18D01183,['ADES 600ML']
JLP05-18D01188,['ADES 600ML']
JLP05-18D01193,['ADES 600ML']
JLP05-18D01199,['BISKUAT CKT 71.5 GR']
JLP05-18D01203,['ADES 600ML']
JLP05-18D01204,['ADES 600ML']
JLP05-18D01206,['ADES 600ML']
JLP05-18D01221,['ADES 600ML']
JLP05-18D01222,['CLASSMILD 16 BTG']
JLP05-18D01237,['ADES 600ML']
JLP05-18D01239,['ADES 600ML']
JLP05-18D01241,['ADES 600ML']
JLP05-18D01242,['ADES 600ML']
JLP05-18D01275,['ADES 600ML']
JLP05-18D01282,['ADES 600ML']
JLP05-18D01296,['CLASSMILD 16 BTG']
JLP05-18D01299,['CLASSMILD 16 BTG']
JLP05-18D01307,['ADES 600ML']
JLP05-18D01311,['CLASSMILD 16 BTG']
JLP05-18D01312,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D01331,['ADES 600ML']
JLP05-18D01348,['ADES 600ML']
JLP05-18D01363,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01364,['ADES 600ML']
JLP05-18D01367,['ADES 600ML']
JLP05-18D01372,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01379,['ADES 600ML']
JLP05-18D01382,['76 FILTER GOLD ISI 12']
JLP05-18D01383,['ADES 600ML']
JLP05-18D01384,['ADES 600ML']
JLP05-18D01387,['ADES 600ML']
JLP05-18D01389,['CLASSMILD 16 BTG']
JLP05-18D01395,"[""CHARM EXTRA MAXI WING 5'S""]"
JLP05-18D01398,['ADES 600ML']
JLP05-18D01399,['ADES 600ML']
JLP05-18D01416,['ADES 600ML']
JLP05-18D01430,['CHITATO SAPI PANGGANG 35G']
JLP05-18D01444,['ADES 600ML']
JLP05-18D01445,['ADES 600ML']
JLP05-18D01447,['ADES 600ML']
JLP05-18D01461,['ADES 600ML']
JLP05-18D01493,['ADES 600ML']
JLP05-18D01494,['ADES 600ML']
JLP05-18D01506,['ADES 600ML']
JLP05-18D01509,['ADES 600ML']
JLP05-18D01515,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01518,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01519,['ADES 600ML']
JLP05-18D01525,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01528,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01534,['ADES 600ML']
JLP05-18D01536,['ADES 600ML']
JLP05-18D01542,['ADES 600ML']
JLP05-18D01554,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01556,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01557,['ADES 600ML']
JLP05-18D01559,['ADES 600ML']
JLP05-18D01560,['ADES 600ML']
JLP05-18D01564,"['AIR MINUM ADES 1,5 L']"
JLP05-18D01566,['ADES 600ML']
JLP05-18D01570,['ADES 600ML']
JLP05-18D01571,['ADES 600ML']
JLP05-18D01576,['ABC KOPI SUSU SCT 31 GR']
JLP05-18D01595,['76 FILTER GOLD ISI 12']
JLP05-18D01596,"['AIR MINUM ADES 1,5 L']"
