NOMOR,NAMA ITEM
JLP05-18D00001,['AQUA BTL 600 ML']
JLP05-18D00002,['SAMPOERNA MILD MERAH ISI 16']
JLP05-18D00003,"['HANSAPLAS KOYO HANGAT ISI 10', 'FRESTEA APPLE BTL 500ML', 'NESTLE CRUNCHCHOPS CHOCOLATE ORIGINAL']"
JLP05-18D00004,['FRESTEA MARKISA 500ML']
JLP05-18D00005,"['NESCAFE COFFE CREAM UHT 200ML', 'CLASMILD 12 BTG']"
JLP05-18D00006,"['PARAMEX ISI 4', 'FRESTEA JASMINE CUP 300ML']"
JLP05-18D00007,"['TEH PUCUK HARUM 500 ML', 'AQUA BTL BSR 1.5 L', 'OKI JELLY DRINK BIG', 'YAKULT8992994110112', 'LE MINERAL 600 ML']"
JLP05-18D00008,['MINUTE MAID HOMESTYLE JAMBU']
JLP05-18D00009,"['SPIX SOBA RASA AYAM BAKAR 21 GR', 'SPIX SOBA RASA SAMBAL BALADO 21 GR', 'LE MINERAL 1500ML', 'GERY CHOCOLATOS ROLL 10GR']"
JLP05-18D00010,"['ULTRA MILK RASA MOKA 250 ML', 'GERY SALUUT DARK CHOCOLATE']"
JLP05-18D00011,['DJARUM MLD BLACK SARIES 16 BTNG']
JLP05-18D00012,"['PASTA GIGI FOR SPARKLING  WHITE 190 GR ]', 'LIFTBOY LEMON FRESH 85 GR', 'SANDAL SWALLOW 10', 'SANDAL SWALLOW UKURAN 10,5']"
JLP05-18D00013,['LIFEBUOY TOTAL 1']
JLP05-18D00014,['DJARUM MLD BLACK 12']
JLP05-18D00015,"['AQUA BTL 600 ML', 'KRIPIK TEMPE SUPER SNACK']"
JLP05-18D00016,['AQUA BTL 600 ML']
JLP05-18D00017,"['KOPIKAP GELAS', 'U BOLD 12 BTNG', 'MM REFRESH ORANGE FLAVOUR 296ML']"
JLP05-18D00018,"['NANO NANO ISI 5 JERUK', 'CLEO BOTOL 550ML']"
JLP05-18D00019,"['ULTRAMILK CKT 250 ML', 'SR GNDUM CKT ISI 4']"
JLP05-18D00020,"['POCARI BTL 350 ML', 'TANGGO LONG VANILA 52GR', 'PERMEN LOTTE SWEET BERY ISI 5', 'PERMEN KARET LOTTE RASA APEL ISI 5']"
JLP05-18D00021,"['MM PULPY ORANGE 300 ML', 'FLORIDINA BTL 360ML']"
