NOMOR,NAMA ITEM
JLP05-18B00001,"['LA BOLD 12', 'KOREK API TAJIMA']"
JLP05-18B00002,['SAMPOERNA MILD MERAH ISI 16']
JLP05-18B00003,"['TEH PUCUK HARUM 500 ML', 'PADELPOPO SHAKYSHAKE150 ML']"
JLP05-18B00004,['CORNETTO MINI RBWPOP & DS CH']
JLP05-18B00005,"['LEMON WATER 500 ML', 'GOOD DAY MOCA BTL 250 ML', 'LA BOLD 12']"
JLP05-18B00006,['KRATINGDAENG BTL 150 ML']
JLP05-18B00007,"['GOOD DAY CAPU SCT 25 GR', 'SET KOPI PANAS']"
JLP05-18B00008,"['LE MINERAL 600 ML', 'LAYS RUMPUT LAUT 68G']"
JLP05-18B00009,"['MM PULPY ORANGE 350 ML', 'BIORE BODY FOAM PURE MILD 100 ML']"
JLP05-18B00010,"['PRISTINE PH 8+ 400 ML', 'ANTANGIN CAIR SCT 15 ML']"
JLP05-18B00011,['TEH PUCUK HARUM 500 ML']
JLP05-18B00012,"['GIV PEPAYA 80GR', 'REJOICE SMOOTHIINESS EXPRESS']"
JLP05-18B00013,"['PRISTINE 8+ 600 ML1', 'BEAR BRAND KLG 189 ML']"
JLP05-18B00014,['LE MINERAL 1500ML']
JLP05-18B00015,"['CELANA DALAM PRIA AGREE M, L,  XL, XXL']"
JLP05-18B00016,"['LA MERAH ISI 16 BTG', 'MENTOS 37 GR', 'FOXS PASSION MINTS', 'FRESHCARE HOT 10ML']"
JLP05-18B00017,"['LE MINERAL 1500ML', 'GOOD DAY ORIGINAL CAPPUCCINO 250 ML', 'KOREK API TAJIMA']"
JLP05-18B00018,['DUNHILL MILD 20 BATANG']
JLP05-18B00019,['POKKA TEH LEMON 350 ML']
JLP05-18B00020,"['ULTRAMILK  LOW FAT 250 ML', 'ROTI BASAH ORDIO COKLAT FILLING']"
JLP05-18B00021,['FRESTEA JASMINE CUP 300ML']
JLP05-18B00022,"[""CHARM BODY FIT NIGHT WING 29CM 5'S""]"
JLP05-18B00023,['AQUA BTL 600 ML']
JLP05-18B00024,['ATTACK JAZZ CINTA 900 GR']
JLP05-18B00025,"['KAPAL API SPC MIX SCT 25 GR', 'INDOCAFE CFM CT 20 GR', 'TEH GELAS BIG ORIGINAL 300 ML', 'SET KOPI PANAS']"
JLP05-18B00026,['ULRA MILK COKLAT 200ML']
JLP05-18B00027,['PARAMEX ISI 4']
JLP05-18B00028,"['DJARUM BLACK 16 BTG', 'SAMPOERNA MILD MERAH ISI 16']"
JLP05-18B00029,['AQUA BTL 600 ML']
JLP05-18B00030,['FRISIAN FLAG PURE FARM COCONUT DELIGHT225ML']
JLP05-18B00031,"['INDOMILK CHOCOLATE 250ML', 'CLEO BOTOL 550ML']"
JLP05-18B00032,"['ZUPERR KEJU MALKIST KEJU 120 GR', 'MEKAR ARUM GENDON']"
JLP05-18B00033,['SAMSU REFILL 12']
JLP05-18B00034,['FOX CRYSTAL CLEAR 38 GR']
JLP05-18B00035,['FRUIT TEA BTL APPLE 500 ML']
JLP05-18B00036,['FRESTEA GREEN MADU 350 ML']
JLP05-18B00037,['POCARI BTL 350 ML']
JLP05-18B00038,['HEXOS BERLEY MINT ISI 5']
JLP05-18B00039,['TEBS BOTOL 500 ML']
JLP05-18B00040,['HYDRO COCO ORIGINAL 250ML']
JLP05-18B00041,"['LARUTAN PENYEGAR BADAK 500ML', 'SEMPE ARUMANIS KIPAS', 'SAMPOERNA MILD MERAH ISI 16', 'HYDRO COCO ORIGINAL 250ML', 'LEMON WATER 500 ML', 'BENG2 SCT 25 GR']"
JLP05-18B00042,['LA MERAH 12 BATANG']
JLP05-18B00043,"['CHARM EXTRA MW 2', ""CARM BODY FIT SUPER SLIM 1'S""]"
JLP05-18B00044,['KOREK M200 BARA']
JLP05-18B00045,"[""CRIPING SINGKONG RASA BALADO D'JAVA SNACK"", 'LEMON WATER 500 ML']"
JLP05-18B00046,['BLP STANDARD AE7 ALFATIP']
JLP05-18B00047,"['TEH PUCUK HARUM BTL 350ML', 'LE MINERAL 600 ML']"
JLP05-18B00048,"['POKKA OOLONG TEA LESS SUGAR 450ML', 'GOOD MOOD LEMON & MADU 500ML', 'PEYEK TUMPI  KHALIFAH', 'SAMSU REFILL 12']"
JLP05-18B00049,"['SARI RAOS BAL-BAL', 'LE MINERAL 1500ML', 'STARWAY SOYA BEAN 330 ML', 'SOYA BEAN CHOCOLATE 330 ML']"
JLP05-18B00050,"['CLEO BTL KERUCUT 550 ML', 'LUWAK WK ORIG SCT 20 GR', 'SET KOPI PANAS']"
JLP05-18B00051,"['SAMPOERNA MILD MERAH ISI 16', 'KOREK API TAJIMA']"
JLP05-18B00052,"['ROMA MALKIST COKLAT 120GR', 'FULLO PACK SERU KJU 42 GR', 'ROMA SANDWICH CHOCOLATE 216G', 'GERRY O DONUTS CHOCOMILK 8GR']"
JLP05-18B00053,"['AQUA BTL 600 ML', 'LA MERAH ISI 16 BTG']"
JLP05-18B00054,['PARFUM SPRAY NON ALKOHOL']
JLP05-18B00055,"['TEH PUCUK HARUM BTL 350ML', 'KOPIKAP GELAS', 'FRESTEA JASMINE CUP 300ML']"
JLP05-18B00056,"['SAMPOERNA MILD ISI 12', 'KOREK API TAJIMA', 'AQUA BTL 600 ML', 'KACANG HIJAU UHT 150 ML']"
JLP05-18B00057,['SPRITE MINI 250 ML']
JLP05-18B00058,"['ROTI BASAH ORDIO COKLAT KACANG', 'FRUIT TEA BTL APPLE 500 ML', 'HEXOS MINT ISI 5']"
JLP05-18B00059,['SOLAR NON SUBSIDI 10 L']
JLP05-18B00060,"['MIAW- MIAW HOT & SPICY FLAVOURED PRAWN CRACKERS 60', 'NESCAFE MOCHA CAN 240ML', 'JAA CAVE LATTE KLG 240 ML', 'WHITE TEA LYCHEE 450 GR', 'KAPAL API SPC MIX SCT 25 GR', 'SET KOPI PANAS']"
JLP05-18B00061,"['LE MINERAL 1500ML', 'TARO NET SEAWEED 10G', 'OREO ISI 3 PTH', 'MIE KREMEZZ SHAKE & SHORE AYAM PANGGANG 12 GR', 'MIE KREMEZZ SHAKE & SHORR KEJU EXTRA PEDAS', 'FRESTEA JASMINE CUP 300ML', 'KOPIKAP GELAS']"
JLP05-18B00062,"['SAMPOERNA MILD MERAH ISI 16', 'GARUDA ROSTA KACANG PANGGANG RASA PEDAS 25GR', 'KACANG ATOM GAJAH 120 GR', 'LE MINERAL 1500ML', 'AQUA BTL 600 ML']"
JLP05-18B00063,['AMPLOP MERPATI']
JLP05-18B00064,"['ULTRAMILK CKT 250 ML', 'MILO ACTIV GO UHT 190ML']"
JLP05-18B00065,"['SARI RAOS JUMBO KASUR', 'SARI RAOS COKLA KEJU']"
JLP05-18B00066,['WHITE TEA JASMIN 450 ML']
JLP05-18B00067,"['PAPEO POTATO STICK SAPI PANGGANG 50 GR', 'KACANG ATOM GAJAH 120 GR']"
JLP05-18B00068,"['GOOD DAY ORIGINAL CAPPUCCINO 250 ML', 'CHITATO RASA KERAK TELOR 55GR', 'MOGU MOGU ANGGUR 320 ML', 'SARI ROTI ROTI SANDWICH ISI BLUE BERRY']"
JLP05-18B00069,"['DEKA ROLL CHOCONUT 10G', 'BISKUAT BOLU CKT 16.6 GR']"
JLP05-18B00070,"['KERAK NASI KHALIFAH', 'AQUA BTL 600 ML', 'MILO ACTIV GO UHT 190ML', 'FULLO ROL COKLAT 10.5GR', 'TANGO WAFER CKT 8 GR', 'PERMEN COIN EMAS']"
JLP05-18B00071,"['LE MINERAL 600 ML', 'POCARI SWEAT BTL 500 ML']"
JLP05-18B00072,['TEH PUCUK HARUM BTL 350ML']
JLP05-18B00073,['PERMEN KARET BUBBLE GUM']
JLP05-18B00074,"['OREO ROL ICE CREAM 137G', 'MENTOS 37 GR']"
JLP05-18B00075,['ULTRAMILK CKT 250 ML']
JLP05-18B00076,['KUSUKA KRIPIK SINGKONG RASA LADA HITAM 60 GR']
JLP05-18B00077,['FLORIDINA BTL 360ML']
JLP05-18B00078,['MASKER SENSI MASK HEAD LOOP HIJAU']
JLP05-18B00079,['HEXOS BERLEY MINT ISI 5']
