NOMOR,NAMA ITEM
JLP05-18A00001,['GAS LPG 3KG']
JLP05-18A00002,['KOREK M200 BARA']
JLP05-18A00003,['DUNHILL FLTER HTM 16 BATANG']
JLP05-18A00004,"['AQUA BTL BSR 1.5 L', 'GG INTERNATIONAL 12 BTG', 'DJARUM SPR 12', 'TEH KOTAK 200+100 ML']"
JLP05-18A00005,['GIV PEPAYA 80GR']
JLP05-18A00006,"['TEH PUCUK HARUM BTL 350ML', 'TARO NET SEAWEED 10G', ""TESSA TP-11 50'S"", 'DEE-DEE JUNIOR', 'DEE-DEE STRAWBERRY 50GR', 'STELLA NATURALS ALL IN ONE JERUK 70G', 'WALLS POPULAIRE CHOCOLATE', 'SENIOR 12BTG']"
JLP05-18A00007,"['AQUA BTL 600 ML', 'GILLETE BLUE 2 PLUS', 'SISIR GOLOK POLOS', 'TESSA TP-17 TRAVEL PCK ANGRYBIRD', 'MAMYPOKO FRAGRANCE 20S', 'REJOICE SMOOTHNESS EXPERT ANTI KUSUT PINK', 'FOX CRYSTAL CLEAR 38 GR', 'HEXOS MINT ISI 5']"
JLP05-18A00008,"['TANGO WAFER VANILLA 8 GR', 'INDOMILK BTL CKT 190 ML', 'WAFFLE CRUNCHMILK 8 GR', 'MILKITA LOLY PLES 7 GR']"
JLP05-18A00009,['GAS LPG 3KG']
JLP05-18A00010,"['SARI RAOS BAL-BAL', 'DJARUM MLD BLACK 12']"
JLP05-18A00011,"['PILUS GARUDA RASA PEDAS 95 GR', 'GARUDA KLT 200 GR', 'GO POTATO CRISPY BISCUIT 60 GR', 'AIR MINUM ADES 1,5 L', 'KERAK NASI KHALIFAH', 'PERMEN BERLEY MINT ISIS 5 15 GR', 'TOLAK ANGIN CAIR 15 ML SCT']"
JLP05-18A00012,"['LEMON WATER 500 ML', 'FLORIDINA BTL 360ML', 'VIT BTL 600ML']"
JLP05-18A00013,['PERMEN BERLEY MINT ISIS 5 15 GR']
JLP05-18A00014,['PERMEN KARET BUBBLE GUM']
JLP05-18A00015,"['SLAI OLAY STW 240 GR', 'LAYS AYAM GORENG 55GR', 'GERRY SALUT MALKIST COKLET 110G', 'LE MINERAL 1500ML', 'SAMPOERNA MILD MERAH ISI 16']"
JLP05-18A00016,"['VICKS 44 SACHET', 'LE MINERAL 600 ML']"
